Host,Sat_name,RA(deg),DEC(deg),D_SBF(Mpc),D_TRGB(Mpc),Vel(km/s),dvel,Rproj(kpc),Rproj_in_Rvir?,Theta,ETG?,M_g,lgM_star
NGC253,NGC247,11.783,-20.757,nan,3.72,159,-100,282.2,0,1.092086361,0,-18.31,9.41
NGC253,dw0047m2623,11.894,-26.39,nan,3.9,nan,nan,68.5,1,nan,1,-8.86,5.77
NGC253,dw0049m2100,12.454,-21.017,nan,3.44,295,36,267.9,1,0.9817594169,0,-12.69,6.62
NGC253,dw0050m2444,12.575,-24.737,nan,3.12,nan,nan,51.7,1,nan,1,-9.53,5.53
NGC253,dw0055m2309,13.754,-23.169,nan,nan,250,-9,169,1,0.6142562928,0,-10.26,5.95
NGC628,dw0132p1422,23.249,14.374,nan,nan,669,13,284.7,0,1.36934172,0,-13.9,7.14
NGC628,dw0133p1543,23.484,15.731,9.18,nan,nan,nan,113.5,1,nan,1,-10.01,6.22
NGC628,dw0134p1544,23.554,15.746,10.5,nan,nan,nan,102,1,nan,1,-12.38,7.07
NGC628,dw0134p1438,23.674,14.644,nan,nan,731,75,210.9,0,1.080941467,0,-12.89,6.74
NGC628,dw0136p1628,24.084,16.47,9.45,nan,nan,nan,118,1,nan,1,-12.2,7.1
NGC628,dw0137p1537,24.324,15.633,10.12,nan,nan,nan,35.5,1,nan,1,-12.09,7.18
NGC628,dw0137p1607,24.416,16.132,9.05,nan,nan,nan,71.5,1,nan,1,-9.75,6.24
NGC628,dw0138p1458,24.502,14.982,8.61,nan,738,82,146.9,1,0.8170653831,0,-12.97,7.06
NGC628,UGC1171,24.937,15.899,10.13,nan,696,40,126.7,1,0.6409816847,0,-14.24,7.38
NGC628,dw0139p1433,24.961,14.556,10.82,nan,nan,nan,246.2,0,nan,0,-12.06,6.59
NGC628,dw0140p1556,25.04,15.939,11.78,nan,nan,nan,144.5,1,nan,0,-11.31,6.05
NGC628,UGC1176,25.043,15.905,nan,nan,632,-24,144.1,1,0.7027092018,0,-15.71,8.18
NGC628,dw0143p1541,25.901,15.694,8.64,nan,789,133,284,0,1.519072555,0,-14.2,7.62
NGC891,dw0221p4221,35.301,42.364,10.48,10.28,nan,nan,39.9,1,nan,1,-12.52,7.11
